0000001ERIKA ROCHA                   06000700080020F
0000005CARLOS PEREIRA                05000700060015M
0000007LUCAS FERNANDES               06000500070012M
0000011GABRIEL TEIXEIRA              05000600070018M
0000014CAMILA SANTOS                 06000700070008F
0000017DANIEL GOMES                  07000600070014M
0000019ANDRÉ MARTINS                 08000900090004
0000020PATRÍCIA ARAUJO               09001000090002
0000021THIAGO MENDES                 06000600070010M
0000024NATÁLIA RAMOS                 09000900100001
0000028LETÍCIA PINTO                 09001000090003
0000029MARCOS BATISTA                05000600070013M
0000034JÉSSICA SOUZA                 09001000100002
0000038MANUELA GONÇALVES             09000900090001
0000039OTÁVIO MOREIRA                07000800070007
0000044MELISSA MOURÃO                06000800090006
0000054CÁTIA TEIXEIRA                09000900100002
0000056ÉVILIN OLIVEIRA               06000800070006
0000059CRISTIAN MORAES               07000600070011M
0000060MÔNICA FERREIRA               08000900090004
